Condition	avg_s	displacement	persistence_index	pathlength
1E9_EVs	0.230151316	77.97424922	0.589798616	177.1386427
1E9_EVs	0.204191654	63.12286623	0.569106871	144.4583226
1E9_EVs	0.19508552	51.02065565	0.55214029	120.6248997
1E9_EVs	0.200283687	46.37182445	0.540981315	106.7580739
1E9_EVs	0.194533063	49.82104576	0.457419635	107.6944239
1E9_EVs	0.217539782	63.82633706	0.576371154	159.3040524
1E9_EVs	0.244075293	69.06615265	0.585851317	142.4085981
1E9_EVs	0.206465917	38.68316687	0.454922775	118.4588373
1E9_EVs	0.19557546	55.40504257	0.550854314	131.0987516
1E9_EVs	0.200186417	42.54703393	0.506102091	103.4160006
1E9_EVs	0.19525692	43.01589934	0.418990603	122.8014509
1E9_EVs	0.193996185	40.0320144	0.413162939	124.3941442
1E9_EVs	0.17473529	48.41227842	0.473951264	116.5189306
5E8_EVs	0.236327822	67.04770473	0.604572029	135.9992638
5E8_EVs	0.198803613	60.2225237	0.551482896	149.5998405
5E8_EVs	0.210541538	83.47578577	0.546058124	174.0164871
5E8_EVs	0.182645465	48.63087847	0.503540629	107.5097539
5E8_EVs	0.243493449	73.41832006	0.501507727	180.131537
5E8_EVs	0.192991036	40.451664	0.396975109	128.4346488
5E8_EVs	0.191193655	53.68148081	0.546946923	102.2888003
5E8_EVs	0.177659481	49.77358683	0.540069635	115.4271186
5E8_EVs	0.203297289	68.04512392	0.529443902	171.5906429
5E8_EVs	0.187157274	61.9868673	0.48559029	164.4345845
5E8_EVs	0.169014073	32.01250949	0.412881849	89.91428421
5E8_EVs	0.191331849	44.53744532	0.497675089	124.1624533
1E8_EVs	0.153124915	45.69435309	0.566969567	115.7582638
1E8_EVs	0.15398596	38.04238746	0.504550706	91.6285808
1E8_EVs	0.19184349	47.64192289	0.623143259	90.39514114
1E8_EVs	0.234485002	69.59115136	0.623101993	129.0879052
1E8_EVs	0.211203952	51.10994495	0.441859467	146.8790397
1E8_EVs	0.189893003	42.9766822	0.410809993	125.1645804
1E8_EVs	0.200068013	46.55502675	0.489726183	122.2803163
1E8_EVs	0.200774963	54.54113847	0.462665331	151.5742184
1E8_EVs	0.196691168	60.09240841	0.471222271	160.6636827
1E8_EVs	0.215169781	60.35712503	0.491485743	158.5338975
1E8_EVs	0.192102144	39.01380537	0.510228624	96.76078665
1E8_EVs	0.226063091	75.11870288	0.583190278	142.8244141
1E8_EVs	0.209218256	53.01403719	0.525817548	132.9989672
1E8_EVs	0.158380802	36.81334603	0.512900851	100.8402955
1E8_EVs	0.195505875	52.90902171	0.612311415	120.5252952
1E8_EVs	0.209406541	66.47824922	0.634994635	123.455856
1E8_EVs	0.203173979	56.71253956	0.580100287	126.92264
1E8_EVs	0.193101644	59.21005225	0.627733463	115.195711
1E8_EVs	0.175615926	38.54111697	0.499434907	115.9690441
1E8_EVs	0.160943159	36.61412239	0.426059086	114.5523989
1E8_EVs	0.188402306	44.85735477	0.594190741	92.64999752
1E8_EVs	0.199354378	50.41353178	0.471115358	144.9898703
1E8_EVs	0.224504668	57.35412511	0.54166727	135.2244219
Serum-free_media	0.161701685	58.15129195	0.516046049	136.7759843
Serum-free_media	0.14395004	41.63631419	0.396538739	139.3942186
Serum-free_media	0.169042618	52.5954424	0.514742025	127.2603594
Serum-free_media	0.181797047	47.131361	0.516641135	93.45689998
Serum-free_media	0.308467981	38.12572397	0.484860628	71.39433452
Serum-free_media	0.184232024	43.28452826	0.572326133	101.7939546
Serum-free_media	0.206363513	61.01474595	0.590472425	148.2705169
Serum-free_media	0.199795471	44.17104822	0.60621539	83.97320668
Serum-free_media	0.185047858	51.30378639	0.602795042	113.1163186
Serum-free_media	0.219974773	63.13598538	0.529615745	154.5198963
Serum-free_media	0.249005647	81.50155923	0.55347174	158.7842993
Serum-free_media	0.217115539	38.55001522	0.403780484	113.6332368
Serum-free_media	0.183617731	57.12812947	0.560635935	127.3828973
Serum-free_media	0.235441311	72.83012026	0.620133356	147.0346369
Serum-free_media	0.251834166	59.06868436	0.577013508	132.4376741
Serum-free_media	0.209807915	55.01160508	0.451748022	144.9233651
Serum-free_media	0.204678871	60.36802359	0.583907281	127.5696452
Serum-free_media	0.196949115	61.8086275	0.649078058	116.2524734
Serum-free_media	0.168806492	46.91235349	0.502225168	113.9958794
Serum-free_media	0.195470181	57.25290805	0.602114226	136.8984497
Serum-free_media	0.159444156	43.81400164	0.471028743	108.89308
Serum-free_media	0.172892067	56.17652036	0.376913743	191.5184405
Serum-free_media	0.183343678	56.52757205	0.471100309	135.8520262
Complete_media	0.391201077	87.95929021	0.668611889	161.8016267
Complete_media	0.30017988	64.90669359	0.58528969	136.2159891
Complete_media	0.297330272	77.47716784	0.671139658	145.3092916
Complete_media	0.292291834	68.85702132	0.655382963	132.9819589
Complete_media	0.424315418	94.85600455	0.599833456	186.4396196
Complete_media	0.382729337	85.02604325	0.687201607	163.4930974
Complete_media	0.293122115	61.53460004	0.595626228	128.4018088
Complete_media	0.291162903	64.58487803	0.619115859	128.2648979
Complete_media	0.318524835	72.88191775	0.627357709	138.4305783
Complete_media	0.379462916	94.11401066	0.706559995	164.0415163
Complete_media	0.430427568	91.12611595	0.640365259	196.6115906
Complete_media	0.340521373	68.17177355	0.616868448	148.022929
Complete_media	0.349071672	74.1538308	0.612776047	151.2334367
Complete_media	0.284513204	60.81020894	0.619362432	128.8413949
Complete_media	0.29301277	64.07155303	0.721007267	124.1064859
Complete_media	0.310956772	76.73069813	0.695983231	136.2001596
Complete_media	0.275661806	68.08501504	0.668232801	132.9971763
